時間,ツイート本文,いいね,リツイート,ID
2022-11-29 03:00:02+00:00,"11月29日は #いい肉の日 🍖

なんだか久しぶりに宮崎牛を食べたい気分😋
ドレミちゃんは、ヒレ派です♪ https://t.co/ltqulMd26p",152,10,1597425122649907200
2022-11-29 01:00:02+00:00,"ソラシドエアがスポンサーを務める宮崎県出身のプロゴルファー・永峰咲希プロが、シーズン終了報告のため、ソラシドエア宮崎本社に来社されました⛳️

来シーズンも、永峰プロのご活躍を社員一同楽しみにしています🏌️‍♀️
社長も会えて嬉しそうです♪

皆さまも、ぜひ応援よろしくお願いします！ https://t.co/r0B2BP6rio",77,5,1597394922495164418
2022-11-28 03:00:00+00:00,"2022年11月30日(水)まで🏃🏻‍♀️🏃🏻‍♂️🏃🏻
＼\就航20周年記念　特典キャンペーン/／

ご搭乗の際、改札機通過後にお渡しする『ピンク色のご搭乗案内』を使って、ソラシドエア就航各地で使える割引やサービスなど特典が受けられます！
※一部ご搭乗案内を回収する店舗あり

おトクに旅しよう🍴☕️

詳しくはこちら👇",54,1,1597062725426823168
2022-11-25 09:00:03+00:00,"／
期間・席数限定SALE
ソラシドスペシャル好評販売中🎉
＼

年末年始～2月ご搭乗分対象❄️
羽田-九州・沖縄線が6,200円～！！

おトクに旅に出よう✨

🟢予約・販売期間
2022年12月6日(火)23:59まで
※支払期限：ご予約日当日

🟢対象搭乗期間
2022年12月21日(水)～2023年2月28日(火)

詳細はこちら👇",59,2,1596066173052928003
2022-11-25 00:30:00+00:00,"11月25日は #いい笑顔の日☺️

ということで今日も元気に「空から笑顔の種をまく。」で飛んでいきたいと思います✈️💚

では皆さまもご一緒に、今日イチのにっこり笑顔でよろしくお願いします♪

#笑顔が一番 https://t.co/34I2N3JxfF",280,29,1595937813131939842
2022-11-24 03:00:00+00:00,"◤まもなく終了😭◢
特別機内サービス&amp;機内販売「AIRDO×ソラシド スープセット」

共同持株会社設立記念として、ソラシドエアとAIRDOそれぞれの機内で、両社自慢のスープを期間限定でご用意しています✈️

皆さま、お楽しみいただけましたか？☺️

2022年11月30日(水)まで♪
この機会をお見逃しなく🙌 https://t.co/MBD9LGe3n2",132,12,1595613173771472896
2022-11-24 01:00:00+00:00,"おはようございます♪
ドレミちゃんも、昨日はテレビの前で歓喜し、ちょっと寝不足で幸せな気分の朝です😌
気持ちだけは、今日も祝日です！
おめでとうございます♫

さて・・・
今日も皆さま一緒にお仕事がんばりましょう🥲",109,7,1595582975164424193
2022-11-23 01:00:01+00:00,"サーフィンの聖地・宮崎🏄‍♂️

宮崎なら！
11月でも、海でサーフィンを楽しめます✨

ご搭乗時にお渡しするピンク色の”ご搭乗案内”で、宮崎のサーフィン・SUPを1,000円で体験できるキャンペーンを実施中♪（要事前予約）

以前に社員もチャレンジしてきました👍

詳細へ👇
https://t.co/qqAWJJBBnr https://t.co/1PsJvpJMkB",91,4,1595220589676896256
2022-11-22 07:00:00+00:00,"ソラシドエア×AIRDOコラボ投稿✈️💚💙

／
地域によって違う！イメージアンケート😄
冬のグルメといえば？？🍴
＼

冬の北海道と九州・沖縄には、旬の美味しいものがたくさん😋
皆さまが思い浮かべる「冬のグルメ」をそれぞれ教えてください♪

ドレミちゃんはこれ！
🔵北海道👉カニ🦀
🟢九州👉もつ鍋🍲 https://t.co/ZQoZr2QwZi",106,6,1594948798341586944
2022-11-22 03:30:00+00:00,"／
年末年始～2月ご搭乗分
ソラシドスペシャル販売開始🎉
＼

全路線対象✈️✨
おトクなSALEは15日間限定！

ご予約はお早めに♪

🟢予約・販売期間
2022年12月6日(火)23:59まで
※支払期限：ご予約日当日

🟢対象搭乗期間
2022年12月21日(水)～2023年2月28日(火)

詳細はこちら👇",139,27,1594895949360496648
2022-11-22 01:00:01+00:00,"11月22日は #いい夫婦の日 🧑‍🤝‍🧑

ドレミちゃん目線では、なんだかこの機体たちは、背中を預けあっている長い付き合いのパートナーのように見える気がします♪

皆さまには、この2機からどんな会話が聞こえてきそうですか？？😄 https://t.co/Dae23IQc1b",270,18,1594858203187011584
2022-11-21 09:00:01+00:00,"／
いよいよ明日11月22日(火)0:00～販売開始⏰
おトクな運賃「ソラシドスペシャル」
＼

年末年始も対象♪
羽田-九州・沖縄線 6,200円～😊

🟢予約・販売期間
2022年11月22日(火)0:00～12月6日(火)23:59
※支払期限：ご予約日当日

🟢対象搭乗期間
2022年12月21日(水)～2023年2月28日(火)

詳細へ👇",93,15,1594616613109731329
2022-11-21 03:00:00+00:00,"皆さま〜ハロー🤗
11月21日は #世界ハロー・デー 👋

挨拶をして、平和な世界にしよう、という願いが込められています💚

私も普段世界のご挨拶をしていますが、少しでもハッピーな気持ちになる人が増えたら嬉しいです😊

皆さまも、今日は気持ちのいい挨拶で始めましょう♪

#海外育ちのファンちゃん https://t.co/F3rKWERHmk",125,12,1594526009985884160
2022-11-18 09:00:02+00:00,"／
2022年11月22日(火) 0:00～販売開始✨
おトクな運賃「ソラシドスペシャル」
＼

まもなく期間限定SALEを開始⏰
お見逃しなく👀✨

🟢予約・販売期間
2022年11月22日(火)0:00～12月6日(火)23:59
※支払期限：ご予約日当日

🟢対象搭乗期間
2022年12月21日(水)～2023年2月28日(火)

ご案内はこちら👇",110,17,1593529453853913090
2022-11-18 08:00:00+00:00,"宮崎県小林市の栗のトップブランドを使用した「渋皮栗甘納豆」を機内・オンラインショップで販売中🌰✨

宮崎県の西部に位置し、多くが林野で占められている「須木」で生産された宮崎の恵み「須木栗」☺️

「渋皮栗甘納豆」はお茶と相性バッチリ🍵

オンラインショップへ👉https://t.co/OWAJw3DZqA https://t.co/5FAHzNE9y3",133,6,1593514345224237057
2022-11-17 09:00:00+00:00,"／
最大10,000円分のクーポン配布中！
まもなく終了！！
「ソラシド＋（ぷらす）」タイムセール⏰
＼

航空券と宿泊、オプションをセットでおトクに予約しよう♪
年末年始も対象！お見逃しなく✨

🟢予約期間
2022年11月18日(金)16:59まで

🟢対象出発期間
2022年12月21日(水)～2023年3月31日(金)",53,4,1593167055087230978
2022-11-17 03:00:02+00:00,"皆さま～グーテン・ターク🤗

お土産でもらった鹿児島・霧島の豚味噌で、おにぎりを作りました🍙
ライスと合わせてパーフェクト！
すっごく美味しかった💚

他に鹿児島のおすすめの食べ物があれば教えてください😊

＃海外育ちのファンちゃん
＃世界のご挨拶 https://t.co/YIaKQMF64C",91,6,1593076469588054017
2022-11-16 09:00:02+00:00,"🎁先着500名様🎁
ハウステンボス園内で使える5,000円分ギフト券プレゼント♪

期間中に、ソラシドエアHPで羽田-長崎線の往復航空券(お一人様あたり税込25,000円以上)をクレジットカードで購入の方が対象！

「世界最大級のイルミネーション」を見に長崎へ行こう✈️✨

詳細👉https://t.co/4YBtIy9tZW https://t.co/BRTxHlgBYD",58,1,1592804676637900802
2022-11-16 03:00:00+00:00,"皆さま～👋

飛行機✈️に乗ると雲海が見えることが多いですが、
山の上⛰️から見る雲海も壮大で素晴らしいですよね！

阿蘇の雲海は、秋がベストシーズン🍁
気象条件が揃って、見ることができたらラッキーです😊✨

#週刊ソラ子
#熊本県 
#田子山展望所
#そらふねの桟橋 https://t.co/T8PKWPIubH",176,7,1592714072000286721
2022-11-15 08:00:01+00:00,"＼\ソラシドエア カレンダー 2023 好評販売中✨/／

ソラシドエア オンラインショップで商品をご購入の先着300名様に、今なら「就航20周年記念 カトラリーセット」が付いてきます😄💚

◆壁掛けタイプ（B4サイズ）：1,320円（税込）
※見開きB3サイズ

詳細はこちら👇
https://t.co/i5jiqwblA1 https://t.co/s2DVbQjggc",136,16,1592427183791898628
2022-11-15 06:00:01+00:00,"初の熊本-福島線を運航！

2022年11月11日・13日に、東北・福島  震災復興「絆」チャーターツアー（熊本と福島をつなぐ直行チャーター便）が実施されました✈️✨

両県ともに地震により大きな被害を受け、復興への歩みをすすめています。

また福島の皆さまにお会いできる日を楽しみにしています🤝 https://t.co/XOqhmvcxTc",400,46,1592396984358273024
